,Data,Produto,Categoria,Quantidade,Preço
0,2023-10-20,Bread roll,bread,10,1.5
1,2023-01-17,Bread loaf,bread,5,4.5
2,2023-08-08,Cake slice,slice,8,3.5
3,2023-09-05,Cake slice,slice,6,3.5
4,2023-10-23,Chocolate bar,ready-made,4,2.0
5,2023-01-08,Veggie sandwich,sandwich,3,2.8
6,2023-04-16,Bread loaf,bread,10,4.5
7,2023-08-25,Pie slice,slice,7,4.0
8,2023-09-09,Pie slice,slice,2,4.0
9,2023-05-23,Chicken sandwich,sandwich,8,3.0
10,2023-12-01,Chocolate bar,ready-made,8,2.0
11,2023-03-24,Pie slice,slice,5,4.0
12,2023-01-18,Veggie sandwich,sandwich,2,2.8
13,2023-09-24,Bread roll,bread,4,1.5
14,2023-09-08,Chocolate bar,ready-made,10,2.0
15,2023-06-17,Chocolate bar,ready-made,7,2.0
16,2023-02-08,Pie slice,slice,2,4.0
17,2023-05-08,Chocolate bar,ready-made,2,2.0
18,2023-07-04,Bread roll,bread,6,1.5
19,2023-01-23,Chicken sandwich,sandwich,6,3.0
20,2023-08-04,Mints,ready-made,7,1.0
21,2023-03-13,Pie slice,slice,5,4.0
22,2023-11-05,Mints,ready-made,5,1.0
23,2023-07-01,Mints,ready-made,9,1.0
24,2023-07-15,Chicken sandwich,sandwich,7,3.0
25,2023-08-04,Mints,ready-made,6,1.0
26,2023-05-26,Veggie sandwich,sandwich,5,2.8
27,2023-12-12,Mints,ready-made,8,1.0
28,2023-05-15,Mints,ready-made,10,1.0
29,2023-08-22,Mints,ready-made,2,1.0
30,2023-03-31,Veggie sandwich,sandwich,7,2.8
31,2023-12-18,Cake slice,slice,10,3.5
32,2023-06-05,Chocolate bar,ready-made,10,2.0
33,2023-12-05,Bread loaf,bread,10,4.5
34,2023-07-05,Chicken sandwich,sandwich,1,3.0
35,2023-03-10,Veggie sandwich,sandwich,6,2.8
36,2023-08-22,Bread loaf,bread,7,4.5
37,2023-05-03,Veggie sandwich,sandwich,5,2.8
38,2023-08-14,Cake slice,slice,4,3.5
39,2023-11-11,Cake slice,slice,5,3.5
40,2023-07-12,Bread loaf,bread,9,4.5
41,2023-01-23,Bread roll,bread,4,1.5
42,2023-10-26,Bread loaf,bread,7,4.5
43,2023-01-03,Pie slice,slice,10,4.0
44,2023-05-01,Mints,ready-made,10,1.0
45,2023-03-10,Bread roll,bread,7,1.5
46,2023-04-10,Pie slice,slice,6,4.0
47,2023-06-05,Pie slice,slice,9,4.0
48,2023-10-02,Veggie sandwich,sandwich,1,2.8
49,2023-07-07,Bread roll,bread,1,1.5
50,2023-05-03,Veggie sandwich,sandwich,7,2.8
51,2023-06-10,Veggie sandwich,sandwich,10,2.8
52,2023-12-08,Cake slice,slice,3,3.5
53,2023-10-09,Bread loaf,bread,10,4.5
54,2023-08-19,Veggie sandwich,sandwich,3,2.8
